Location,Classroom #,Capacity,Categories,Feature,Restriction
Dwinelle,243,35,"HD Classroom, Classroom","ADA-Instructor Accessible, ADA-Student Accessible, AV-Blu-ray Player, AV-Computer Data Display, AV-Computer Data Display HD, AV-Connection-Aux, AV-Connection-HDMI, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, Board-Chalk Only, Board-Front 95plus sq ft, Seating-Movable, Window",
Dwinelle,246,30,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, AV-VHS player, Board-Chalk Only, Seating-Movable, Window",
Dwinelle,247,30,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, AV-VHS player, Board-Chalk Only, Board-Front 95plus sq ft, Seating-Movable, Window",
Dwinelle,250,30,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, AV-VHS player, Board-Chalk Only, Board-Front 95plus sq ft, Seating-Movable, Window",
Dwinelle,251,30,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, AV-VHS player, Board-Chalk Only, Board-Front 95plus sq ft, Seating-Movable, Window",
Dwinelle,254,30,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, AV-VHS player, Board-Chalk Only, Board-Front 95plus sq ft, Seating-Movable, Window",
Dwinelle,255,30,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, AV-VHS player, Board-Chalk Only, Board-Front 150plus sq ft, Board-Front 95plus sq ft, Seating-Movable, Window",
Dwinelle,258,30,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, AV-VHS player, Board-Chalk Only, Board-Front 95plus sq ft, Seating-Movable, Window",
Dwinelle,259,30,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, AV-VHS player, Board-Chalk Only, Board-Front 150plus sq ft, Board-Front 95plus sq ft, Seating-Movable, Window",
Dwinelle,262,30,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, AV-VHS player, Board-Chalk Only, Board-Front 95plus sq ft, Seating-Movable, Window",
Dwinelle,263,21,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, AV-VHS player, Board-Chalk Only, Board-Front 95plus sq ft, Seating-Movable, Window",
Dwinelle,279,23,"HD Classroom, Seminar Room","ADA-Instructor Accessible, ADA-Student Accessible, AV-Blu-ray Player, AV-Computer Data Display, AV-Computer Data Display HD, AV-Connection-Aux, AV-Connection-HDMI, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, Board-Chalk Only, Board-Front 95plus sq ft, Seating-Seminar, Seating-Tables/Chairs, Seating-Tables/Chairs Fixed, Window",
Dwinelle,283,30,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, AV-VHS player, Board-Chalk Only, Board-Front 150plus sq ft, Board-Front 95plus sq ft, Seating-Movable, Window",
Life Sciences Addition,101,91,Lecture Hall,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Assistive Listening Device, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-Connection-XLR, AV-DVD Player, AV-Document Camera, AV-Microphones, AV-Screen-Powered, AV-VHS player, Board-Chalk Only, Board-Front 95plus sq ft, Window",
Moffitt,101,87,"HD Classroom, Lecture Hall","ADA-Student Accessible, AV-Assistive Listening Device, AV-Blu-ray Player, AV-Computer Data Display, AV-Computer Data Display HD, AV-Connection-Aux, AV-Connection-HDMI, AV-Connection-VGA, AV-Connection-XLR, AV-Course Capture, AV-DVD Player, AV-Document Camera, AV-Microphones, AV-Screen-Manual Projector, Board-Front 150plus sq ft, Board-Front 95plus sq ft, Board-White Only, Window-None",
Moffitt,102,84,"HD Classroom, Lecture Hall","ADA-Student Accessible, AV-Assistive Listening Device, AV-Blu-ray Player, AV-Computer Data Display, AV-Computer Data Display HD, AV-Connection-Aux, AV-Connection-HDMI, AV-Connection-VGA, AV-Connection-XLR, AV-Course Capture, AV-DVD Player, AV-Document Camera, AV-Microphones, AV-Screen-Manual Projector, Board-Front 150plus sq ft, Board-Front 95plus sq ft, Board-White Only, Window-None",
Moffitt,103,51,"HD Classroom, Lecture Hall","ADA-Student Accessible, AV-Assistive Listening Device, AV-Blu-ray Player, AV-Computer Data Display, AV-Computer Data Display HD, AV-Connection-Aux, AV-Connection-HDMI, AV-Connection-VGA, AV-Connection-XLR, AV-Course Capture, AV-DVD Player, AV-Document Camera, AV-Microphones, AV-Screen-Manual Projector, Board-Front 150plus sq ft, Board-Front 95plus sq ft, Board-White Only, Window-None",
Moffitt,106,52,"HD Classroom, Lecture Hall","ADA-Student Accessible, AV-Assistive Listening Device, AV-Blu-ray Player, AV-Computer Data Display, AV-Computer Data Display HD, AV-Connection-Aux, AV-Connection-HDMI, AV-Connection-VGA, AV-Connection-XLR, AV-Course Capture, AV-DVD Player, AV-Document Camera, AV-Microphones, AV-Screen-Manual Projector, Board-Front 150plus sq ft, Board-Front 95plus sq ft, Board-White Only, Window-None",
Moffitt,145,80,"HD Classroom, Movement Classroom, Classroom","ADA-Instructor Accessible, ADA-Student Accessible, AV-Assistive Listening Device, AV-Blu-ray Player, AV-Computer Data Display, AV-Computer Data Display HD, AV-Connection-Aux, AV-Connection-HDMI, AV-Connection-VGA, AV-Connection-XLR, AV-Course Capture, AV-DVD Player, AV-Document Camera, AV-Microphones, AV-Screen-Manual Projector, AV-Single Input-Dual Display, Environment-Movement, Seating-Movable, Seating-Tables/Chairs, Seating-Tables/Chairs Movable, Window-None",
Moffitt,150D,49,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, AV-VHS player, Board-White Only, Seating-Movable, Window-None",
VLSB,2011,30,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, AV-VHS player, Board-Chalk Only, Seating-Movable, Window",
VLSB,2030,30,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, AV-VHS player, Board-Chalk Only, Seating-Movable, Window",
VLSB,2032,30,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, AV-VHS player, Board-Chalk Only, Seating-Movable, Window",
VLSB,2038,30,Lecture Hall,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, AV-VHS player, Board-Chalk Only, Seating-Movable, Window-None",
VLSB,2040,158,Lecture Hall,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Assistive Listening Device, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-Connection-XLR, AV-Course Capture, AV-DVD Player, AV-Document Camera, AV-Microphones, AV-Screen-Manual Projector, AV-VHS player, Board-Chalk Only, Board-Front 150plus sq ft, Board-Front 95plus sq ft, Demonstration Bench, Demonstration Bench-Water, Window",
